match_stats_id,match_id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
2021-560-211-l,2021-560-211,0,8,95,60,38,6,13,6,13
2021-560-212-l,2021-560-212,4,1,106,78,48,11,16,6,12
2021-560-213-l,2021-560-213,6,4,100,63,45,19,18,1,5
2021-560-214-l,2021-560-214,5,2,106,64,47,21,17,8,11
2021-560-215-l,2021-560-215,24,2,138,90,65,16,19,11,17
2021-560-216-l,2021-560-216,10,3,136,82,58,30,21,12,15
2021-560-217-l,2021-560-217,3,12,149,80,40,30,23,13,26
2021-560-218-l,2021-560-218,1,6,147,99,66,23,25,12,19
2021-560-219-l,2021-560-219,0,3,77,51,32,9,14,3,8
2021-560-220-l,2021-560-220,17,2,147,91,55,28,18,11,16
2021-560-221-l,2021-560-221,13,1,92,63,47,10,15,5,9
2021-560-222-l,2021-560-222,1,1,47,29,19,8,6,5,7
2021-560-223-l,2021-560-223,4,4,114,76,46,20,19,5,12
2021-560-224-l,2021-560-224,16,8,124,77,58,23,23,3,9
2021-560-225-l,2021-560-225,4,10,91,57,37,12,15,0,5
2021-560-226-l,2021-560-226,6,3,92,50,40,17,15,4,8
2021-580-100-l,2021-580-100,3,3,86,51,30,13,12,7,13
2021-580-101-l,2021-580-101,8,2,83,56,33,8,14,4,12
2021-580-102-l,2021-580-102,3,4,92,65,43,14,15,5,8
2021-580-103-l,2021-580-103,6,4,142,94,61,26,20,6,10
2021-580-104-l,2021-580-104,2,5,91,54,35,17,13,9,13
2021-580-105-l,2021-580-105,3,8,160,104,61,25,23,15,24
2021-580-106-l,2021-580-106,3,0,154,98,64,27,24,6,13
2021-580-107-l,2021-580-107,2,3,98,67,40,14,13,11,16
2021-580-108-l,2021-580-108,13,5,162,102,65,29,24,7,13
2021-580-109-l,2021-580-109,4,1,116,65,32,23,16,10,21
2021-580-110-l,2021-580-110,15,3,117,74,55,26,22,4,9
2021-580-111-l,2021-580-111,11,5,168,97,66,38,26,10,17
2021-580-112-l,2021-580-112,4,3,93,64,42,11,15,3,8
2021-580-113-l,2021-580-113,7,6,95,65,41,13,13,4,9
2021-580-114-l,2021-580-114,4,4,129,83,62,18,17,6,8
2021-580-115-l,2021-580-115,6,8,138,81,63,22,20,9,15
2021-580-116-l,2021-580-116,4,4,127,75,41,21,14,13,20
2021-580-117-l,2021-580-117,3,4,100,67,44,14,15,6,11
2021-580-118-l,2021-580-118,5,3,115,79,48,16,15,12,17
2021-580-119-l,2021-580-119,9,2,120,76,53,27,20,8,11
2021-580-120-l,2021-580-120,4,2,93,54,42,18,15,6,10
2021-580-121-l,2021-580-121,7,2,117,85,52,16,17,12,18
2021-580-122-l,2021-580-122,18,3,159,108,74,25,24,7,13
2021-580-123-l,2021-580-123,3,1,102,68,43,18,16,5,11
2021-580-124-l,2021-580-124,4,4,145,102,68,24,23,5,10
2021-580-125-l,2021-580-125,6,2,65,35,25,13,10,3,7
2021-580-126-l,2021-580-126,3,6,89,56,38,9,13,9,15
2021-580-127-l,2021-580-127,2,1,75,51,32,7,13,3,9
2021-580-128-l,2021-580-128,21,23,152,82,54,26,20,15,23
2021-580-129-l,2021-580-129,6,2,86,55,36,12,14,6,11
2021-580-130-l,2021-580-130,0,7,123,72,40,21,17,2,11
2021-580-131-l,2021-580-131,5,6,115,67,41,21,19,5,13
2021-580-132-l,2021-580-132,7,5,107,76,44,16,14,8,13
2021-580-133-l,2021-580-133,6,4,84,56,31,17,13,3,8
2021-580-134-l,2021-580-134,19,4,130,78,56,35,22,2,6
2021-580-135-l,2021-580-135,10,6,97,51,40,22,16,7,10
2021-580-136-l,2021-580-136,5,1,71,45,26,13,10,1,4
2021-580-137-l,2021-580-137,3,5,106,61,38,21,16,9,14
2021-580-138-l,2021-580-138,14,3,100,60,49,17,15,2,4
2021-580-139-l,2021-580-139,7,7,136,90,53,20,20,6,14
2021-580-140-l,2021-580-140,8,11,180,107,76,35,26,7,13
2021-580-141-l,2021-580-141,6,7,103,55,36,26,17,6,11
2021-580-142-l,2021-580-142,3,8,114,74,51,15,17,5,11
2021-580-143-l,2021-580-143,4,2,108,67,47,19,16,7,11
2021-580-144-l,2021-580-144,15,3,106,64,45,25,19,3,7
2021-580-145-l,2021-580-145,17,14,106,59,42,16,17,7,12
2021-580-146-l,2021-580-146,6,8,136,72,50,29,19,14,19
2021-580-147-l,2021-580-147,6,3,78,45,32,12,13,4,9
2021-580-148-l,2021-580-148,0,6,68,45,26,4,11,3,10
2021-580-149-l,2021-580-149,2,3,63,35,21,13,12,1,7
2021-580-150-l,2021-580-150,4,6,90,49,35,16,13,7,12
2021-580-151-l,2021-580-151,19,3,135,95,67,23,24,3,8
2021-580-152-l,2021-580-152,15,3,131,74,57,29,21,8,12
2021-580-153-l,2021-580-153,2,2,98,76,45,8,14,8,14
2021-580-154-l,2021-580-154,14,10,120,60,41,25,16,6,12
2021-580-155-l,2021-580-155,18,2,112,85,61,16,16,5,7
2021-580-156-l,2021-580-156,9,3,84,39,28,22,13,6,11
2021-580-157-l,2021-580-157,8,8,99,57,37,12,13,11,18
2021-580-158-l,2021-580-158,7,3,104,53,35,28,18,0,6
2021-580-159-l,2021-580-159,12,5,99,53,34,18,13,6,12
2021-580-160-l,2021-580-160,9,7,151,95,62,26,21,11,16
2021-580-161-l,2021-580-161,5,5,89,50,31,16,14,9,15
2021-580-162-l,2021-580-162,16,3,178,122,79,32,28,5,11
2021-580-163-l,2021-580-163,4,5,75,41,26,13,13,5,11
2021-580-164-l,2021-580-164,23,8,148,78,58,34,21,9,14
2021-580-165-l,2021-580-165,43,7,185,122,92,32,27,10,13
2021-580-166-l,2021-580-166,9,2,170,99,64,38,24,11,17
2021-580-167-l,2021-580-167,3,3,113,68,42,24,18,10,16
2021-580-168-l,2021-580-168,10,3,119,77,44,21,18,8,14
2021-580-169-l,2021-580-169,25,10,129,71,57,24,20,5,9
2021-580-170-l,2021-580-170,5,2,84,53,30,12,12,10,16
2021-580-171-l,2021-580-171,10,9,104,64,41,24,15,6,10
2021-580-172-l,2021-580-172,1,3,74,43,26,11,12,6,12
2021-580-173-l,2021-580-173,27,4,169,117,91,23,26,6,9
2021-580-174-l,2021-580-174,6,3,87,60,33,14,13,5,9
2021-580-175-l,2021-580-175,36,4,107,75,60,15,19,1,3
2021-580-176-l,2021-580-176,6,5,95,51,29,18,12,5,11
2021-580-177-l,2021-580-177,3,1,74,50,28,12,12,4,10
2021-580-178-l,2021-580-178,5,5,74,51,20,7,9,8,17
2021-580-179-l,2021-580-179,5,5,73,47,19,9,11,6,15
2021-580-180-l,2021-580-180,10,2,110,74,53,22,16,7,9
2021-580-181-l,2021-580-181,15,3,141,106,80,21,26,0,3
2021-580-182-l,2021-580-182,4,4,116,71,48,22,19,6,11
2021-580-183-l,2021-580-183,12,1,104,66,46,18,16,6,10
2021-580-184-l,2021-580-184,21,7,141,82,64,29,22,4,8
2021-580-185-l,2021-580-185,18,5,106,70,55,16,19,6,10
2021-580-186-l,2021-580-186,7,8,118,81,49,14,18,9,16
2021-580-187-l,2021-580-187,0,3,72,40,19,13,13,1,8
2021-580-188-l,2021-580-188,23,8,207,129,93,36,25,17,22
2021-580-189-l,2021-580-189,7,5,133,83,52,22,20,10,18
2021-580-190-l,2021-580-190,4,4,109,68,43,19,14,10,14
2021-580-191-l,2021-580-191,9,2,122,78,45,25,18,4,9
2021-580-192-l,2021-580-192,10,5,147,81,59,37,23,10,13
2021-580-193-l,2021-580-193,9,2,101,68,45,12,15,9,14
2021-580-194-l,2021-580-194,5,3,152,91,61,28,21,14,20
2021-580-195-l,2021-580-195,8,4,73,46,27,12,12,6,11
